,Sample,alpha_ratio,theta_beta_ratio,valence
93,sub-008_ses-08,-0.0135999999999998,-0.0140980438225797,0.504
94,sub-008_ses-09,0.000199999999999534,-0.00643255723245909,0.741
95,sub-008_ses-10_,-0.00290000000000035,0.00863955357517229,0.346
96,sub-008_ses-11_,0.0121,0.00340815691385985,0.696
97,sub-008_ses-12_,0.00219999999999998,0.00480583520961587,0.224
98,sub-009_ses-01,0.00829999999999997,-0.000136625087098493,0.447
99,sub-009_ses-02,-0.00324999999999998,0.00158827340454999,0.272
100,sub-009_ses-03,0.00250000000000006,-0.00612786059380075,0.612
101,sub-009_ses-04,0.0164000000000002,-0.000909728958450494,0.0734
102,sub-009_ses-05,-0.00629999999999997,0.0149899911549741,0.325
103,sub-009_ses-06,-0.0121000000000002,0.00159892883059956,0.193
104,sub-009_ses-07,-0.00290000000000035,0.00361972293537956,0.149
105,sub-009_ses-08,-0.0089,-0.00243825080283867,0.504
106,sub-009_ses-09,0.0126000000000008,0.0163989666404583,0.741
107,sub-009_ses-10_,0.00380000000000003,0.00500448875900139,0.346
108,sub-009_ses-11_,0.00660000000000038,0.00486645951177572,0.696
109,sub-009_ses-12_,0.00799999999999956,0.0136365374008115,0.224
110,sub-010_ses-01,0.0129999999999999,0.000167624657872812,0.447
111,sub-010_ses-02,0.00929999999999997,-0.0108222830281344,0.272
112,sub-010_ses-03,0.00234999999999996,-0.0070150989238558,0.612
113,sub-010_ses-04,-0.0136,-0.00350965716368122,0.0734
114,sub-010_ses-05,0.00339999999999996,-0.00513560975891311,0.325
115,sub-010_ses-06,-0.0169999999999999,0.00221158462948683,0.193
116,sub-010_ses-07,-0.0113500000000001,0.017103034054568,0.149
117,sub-010_ses-08,0.00689999999999992,0.0117081324692034,0.504
118,sub-010_ses-09,-0.00469999999999993,-0.0178961859259859,0.741
119,sub-010_ses-10_,-0.0141,0.00481037309520044,0.346
120,sub-010_ses-11_,-0.0130000000000001,-0.0087996565771431,0.696
121,sub-010_ses-12_,0.00299999999999995,0.0152444976587605,0.224
122,sub-011_ses-01,-0.000199999999999978,-0.00586791210107181,0.447
123,sub-011_ses-02,-0.00260000000000002,-0.0034774374714295,0.272
124,sub-011_ses-03,-0.00724999999999998,0.00532306767453841,0.612
125,sub-011_ses-04,0.00580000000000025,7.91577614184984e-05,0.0734
126,sub-011_ses-05,0.01055,-0.00635675360323013,0.325
127,sub-011_ses-06,0.00849999999999973,-0.0168888888888889,0.193
128,sub-011_ses-07,-0.00715000000000005,0.000798597899310511,0.149
129,sub-011_ses-08,-0.00495000000000001,-0.00337176662535105,0.504
130,sub-011_ses-09,-0.00910000000000011,-0.000690596379301837,0.741
131,sub-011_ses-10_,-0.0173000000000001,-0.0158039107129376,0.346
132,sub-011_ses-11_,-0.00575000000000003,0.0110096015499914,0.696
133,sub-011_ses-12_,-0.00879999999999992,-0.0271814647702612,0.224
134,sub-012_ses-01,-0.00570000000000093,-0.00219966637450875,0.447
135,sub-012_ses-02,-0.00305000000000044,-0.0212879960158396,0.272
136,sub-012_ses-03,0.00180000000000069,0.0240733716654035,0.612
137,sub-012_ses-04,0.00130000000000008,-0.0120255449464079,0.0734
138,sub-012_ses-05,0.0159000000000002,-0.0405103684376877,0.325
139,sub-012_ses-06,0.00159999999999982,0.00669918859230916,0.193
140,sub-012_ses-07,0.0129000000000001,-0.00180614087898856,0.149
141,sub-012_ses-08,0.00150000000000028,-0.0268490664323074,0.504
142,sub-012_ses-09,0.00755000000000017,-0.0313387352090422,0.741
143,sub-012_ses-10_,-0.0215000000000014,0.00806016744714062,0.346
144,sub-012_ses-11_,-0.00925000000000065,-0.0141002392558432,0.696
145,sub-012_ses-12_,0.00615,0.00684864590936111,0.224
146,sub-013_ses-01,-0.00119999999999987,-0.0174715082651699,0.447
147,sub-013_ses-02,0.0109000000000004,-0.00520303394690593,0.272
148,sub-013_ses-03,-0.0167999999999998,-0.00608452711049044,0.612
149,sub-013_ses-04,0.00199999999999978,0.000752453898160418,0.0734
150,sub-013_ses-05,-0.00644999999999996,-0.00392779629551327,0.325
151,sub-013_ses-06,0.000800000000000023,-0.00866915964221952,0.193
152,sub-013_ses-07,0.00170000000000002,-0.00430550515039572,0.149
153,sub-013_ses-08,-0.000399999999999956,-0.0162273529612321,0.504
154,sub-013_ses-09,-9.9999999999989e-05,-0.0196234998064266,0.741
155,sub-013_ses-10_,-0.00390000000000001,-0.0141040545777345,0.346
156,sub-013_ses-11_,0.0028499999999998,-0.00238209796622915,0.696
157,sub-013_ses-12_,-0.000900000000000067,-0.0255335439985119,0.224
158,sub-014_ses-01,-0.0130999999999999,-0.00808185917447115,0.447
159,sub-014_ses-02,0.00740000000000007,-0.0364319269390392,0.272
160,sub-014_ses-03,-0.00494999999999995,0.000589283012939866,0.612
161,sub-014_ses-04,-0.00769999999999982,-0.0266227365654206,0.0734
162,sub-014_ses-05,-0.00659999999999994,0.00292146137990359,0.325
163,sub-014_ses-06,0.00239999999999974,-0.00949093050375828,0.193
164,sub-014_ses-07,0.00439999999999997,-0.00118258182055723,0.149
165,sub-014_ses-08,-0.000300000000000106,-0.000510387001205459,0.504
166,sub-014_ses-09,-0.003,0.000322122216958787,0.741
167,sub-014_ses-10_,0.00419999999999998,-0.00405845666945919,0.346
168,sub-014_ses-11_,0.00439999999999985,-0.011699305446199,0.696
169,sub-014_ses-12_,-0.0083000000000002,-0.0270536332810734,0.224
170,sub-015_ses-01,-0.00209999999999955,-0.00682639919873275,0.447
171,sub-015_ses-02,0.00570000000000004,0.0127923098253073,0.272
172,sub-015_ses-03,0.000249999999999417,-0.0163423252631132,0.612
173,sub-015_ses-04,0.00439999999999996,0.0103597636103933,0.0734
174,sub-015_ses-05,0.00960000000000027,0.00160221201348714,0.325
175,sub-015_ses-06,0.00140000000000029,-0.0275581116702612,0.193
176,sub-015_ses-07,0.000199999999999978,-0.0171099278645441,0.149
177,sub-015_ses-08,0.00229999999999997,0.0207457449755609,0.504
